
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:44:38 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:44:38 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:55:01 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:55:01 SENDER-2    ||  WAITING
10/11/2021 12:55:02 SENDER-1    ||  WAITING
10/11/2021 12:55:02 SENDER-2    ||  WAITING
10/11/2021 12:55:02 SENDER-1    ||  WAITING
10/11/2021 12:55:02 SENDER-2    ||  WAITING
10/11/2021 12:55:02 SENDER-1    ||  WAITING
10/11/2021 12:55:02 SENDER-2    ||  WAITING
10/11/2021 12:55:02 SENDER-1    ||  PACKET 11 SENT TO CHANNEL
10/11/2021 12:55:02 SENDER-2    ||  WAITING
10/11/2021 12:55:03 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:55:03 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:55:03 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:55:03 SENDER-1    ||  WAITING
10/11/2021 12:55:04 SENDER-1    ||  WAITING
10/11/2021 12:55:04 SENDER-2    ||  WAITING
10/11/2021 12:55:04 SENDER-2    ||  WAITING
10/11/2021 12:55:04 SENDER-1    ||  WAITING
10/11/2021 12:55:04 SENDER-1    ||  WAITING
10/11/2021 12:55:04 SENDER-2    ||  PACKET 10 SENT TO CHANNEL
10/11/2021 12:55:05 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:55:05 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:55:05 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:55:05 SENDER-2    ||  PACKET 11 SENT TO CHANNEL
10/11/2021 12:55:06 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:55:06 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:55:06 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:55:07 SENDER-2    ||  WAITING
10/11/2021 12:55:07 SENDER-1    ||  WAITING
10/11/2021 12:55:07 SENDER-2    ||  WAITING
10/11/2021 12:55:07 SENDER-1    ||  PACKET 12 SENT TO CHANNEL
10/11/2021 12:55:07 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:55:08 SENDER-2    ||  FOUND CHANNEL BUSY

10/11/2021 12:55:08 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:55:08 SENDER-1    ||  WAITING
10/11/2021 12:55:08 SENDER-2    ||  WAITING
10/11/2021 12:55:08 SENDER-1    ||  WAITING
10/11/2021 12:55:08 SENDER-2    ||  PACKET 12 SENT TO CHANNEL
10/11/2021 12:55:09 SENDER-1    ||  FOUND CHANNEL BUSY
